Log file open, 06/02/15 13:59:54
LogInit:Display: Running engine for game: Mayhem3d
LogInit: Version: 4.7.4-2497108+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar 31 2015 09:40:25
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line: 
LogInit: Base directory: C:/apps/unrealengine4/Unreal Engine/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.06.02-01.59.54:942][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.06.02-01.59.54:993][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.06.02-01.59.55:009][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.06.02-01.59.55:022][  0]LogInit: Object subsystem initialized
[2015.06.02-01.59.55:033][  0]LogInit: Selected Device Profile: [Windows]
[2015.06.02-01.59.55:034][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.06.02-01.59.55:057][  0]LogInit: Computer: 1406C018
[2015.06.02-01.59.55:057][  0]LogInit: User: noelgamo
[2015.06.02-01.59.55:057][  0]LogInit: CPU Page size=4096, Cores=4
[2015.06.02-01.59.55:057][  0]LogInit: High frequency timer resolution =3.312832 MHz
[2015.06.02-01.59.55:058][  0]LogMemory: Memory total: Physical=16.0GB (16GB approx) Virtual=8192.0GB
[2015.06.02-01.59.55:058][  0]LogMemory: Platform Memory Stats for Windows
[2015.06.02-01.59.55:058][  0]LogMemory: Process Physical Memory: 48.50 MB used, 48.50 MB peak
[2015.06.02-01.59.55:058][  0]LogMemory: Process Virtual Memory: 25.46 MB used, 25.46 MB peak
[2015.06.02-01.59.55:058][  0]LogMemory: Physical Memory: 4370.11 MB used, 16342.16 MB total
[2015.06.02-01.59.55:058][  0]LogMemory: Virtual Memory: 278.39 MB used, 8388608.00 MB total
[2015.06.02-01.59.55:088][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 670 (Feature Level 11_0)
[2015.06.02-01.59.55:088][  0]LogD3D11RHI: Adapter has 1990MB of dedicated video memory, 0MB of dedicated system memory, and 2048MB of shared system memory, 2 output[s]
[2015.06.02-01.59.55:088][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.06.02-01.59.55:092][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.06.02-01.59.55:098][  0]LogD3D11RHI: Async texture creation enabled
[2015.06.02-01.59.55:260][  0]LogTextLocalizationManager: The requested culture ('en_NZ') has no localization data; parent culture's ('en') localization data will be used.
[2015.06.02-01.59.55:317][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save_ToolTip):
Resource: (C:/apps/unrealengine4/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-29098895) String: (Saves the current level to disk)
Resource: (C:/apps/unrealengine4/Unreal Engine/4.7/Engine/Content/Localization/Engine/en/Engine.locres) Hash: (-1280300587) String: (Save selected data to vlog file)
[2015.06.02-01.59.55:317][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:ContentBrowser, Key:ImportAssetToolTip):
Resource: (C:/apps/unrealengine4/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (-630476809) String: (Import to {0}...)
Resource: (C:/apps/unrealengine4/Unreal Engine/4.7/Engine/Content/Localization/Editor/en/Editor.locres) Hash: (1271782899) String: (Imports an asset from file to this folder.)
[2015.06.02-01.59.55:390][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.06.02-01.59.57:554][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.06.02-01.59.58:000][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.06.02-01.59.58:058][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.06.02-01.59.58:526][  0]LogDerivedDataCache: Loaded boot cache 0.47s 39MB D:/Users/noel.gamo/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.06.02-01.59.58:529][  0]LogDerivedDataCache:Display: Loaded Boot cache: D:/Users/noel.gamo/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.06.02-01.59.58:529][  0]LogDerivedDataCache: FDerivedDataBackendGraph:  Pak pak cache file F:/UNI2015/GA3J0-GD3J02_Pre Production/Pre-Production_Prototype/Vertical Slice/Level Design/Aidan/New Map With Old Prototype/Vertical Slice/DerivedDataCache/DDC.ddp not found, will not use a pak cache.
[2015.06.02-01.59.58:529][  0]LogDerivedDataCache: Unable to find inner node Pak for hierarchical cache Hierarchy.
[2015.06.02-01.59.58:657][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.06.02-01.59.58:668][  0]LogDerivedDataCache: Using Local data cache path D:/Users/noel.gamo/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.06.02-01.59.59:122][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.06.02-01.59.59:122][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.06.02-01.59.59:549][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.06.02-01.59.59:626][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.06.02-02.00.00:748][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.06.02-02.00.00:983][  0]SourceControl: Info Source control is disabled
[2015.06.02-02.00.00:984][  0]SourceControl: Info Source control is disabled
[2015.06.02-02.00.00:984][  0]SourceControl: Info Source control is disabled
[2015.06.02-02.00.00:984][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.06.02-02.00.00:984][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.06.02-02.00.00:992][  0]SourceControl: Info Source control is disabled
[2015.06.02-02.00.01:188][  0]LogObj: 24232 objects as part of root set at end of initial load.
[2015.06.02-02.00.01:188][  0]LogUObjectAllocator: 5137176 out of 0 bytes used by permanent object pool.
[2015.06.02-02.00.01:283][  0]LogEngine: Initializing Engine...
[2015.06.02-02.00.04:466][  0]LogInit: XAudio2 using 'Digital Audio (S/PDIF) (High Definition Audio Device)' : 2 channels at 44.1 kHz using 16 bits per sample (channel mask 0x3)
[2015.06.02-02.00.04:480][  0]LogInit: FAudioDevice initialized.
[2015.06.02-02.00.04:532][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.06.02-02.00.04:554][  0]LogDerivedDataCache: Saved boot cache 0.02s 39MB D:/Users/noel.gamo/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.06.02-02.00.04:557][  0]LogInit: Texture streaming: Enabled
[2015.06.02-02.00.04:650][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.06.02-02.00.04:651][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.4-2497108+++depot+UE4-Releases+4.7
[2015.06.02-02.00.04:651][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.4-2497108+++depot+UE4-Releases+4.7
[2015.06.02-02.00.04:651][  0]LogAnalytics: SetUserId a1e74e0a4375ef423aca0199dc9e5962|6f6dd468ae844bec8cd0e1faddec8104|720f38dc-0ff6-4194-aba9-36f63d0c110b
[2015.06.02-02.00.04:651][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.06.02-02.00.04:670][  0]LogInit: Transaction tracking system initialized
[2015.06.02-02.00.04:844][  0]BlueprintLog: New page: Editor Load
[2015.06.02-02.00.04:879][  0]LogAssetRegistry: FAssetRegistry took 0.0111 seconds to start up
[2015.06.02-02.00.04:879][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.06.02-02.00.05:397][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.06.02-02.00.05:729][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.06.02-02.00.06:046][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.06.02-02.00.06:046][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
